"RegionID","SizeRank","RegionName","RegionType","StateName","State","City","Metro","CountyName","2000-01-31","2000-02-29","2000-03-31","2000-04-30","2000-05-31","2000-06-30","2000-07-31","2000-08-31","2000-09-30","2000-10-31","2000-11-30","2000-12-31"
100076,30939,"99034",Zip,WA,WA,Tumtum,Spokane-Spokane Valley,Stevens County,"","","","","","","","","","","",""
70404,30939,"29324",Zip,SC,SC,Spartanburg,Spartanburg,Spartanburg County,"","","","","","","","","","","",""
63088,30939,"13364",Zip,NY,NY,Plainfield,Oneonta,Otsego County,"","","","","","","","","","","",""
67974,30939,"24086",Zip,VA,VA,Pearisburg,Blacksburg-Christiansburg-Radford,Giles County,"","","","","","","","","","","",""
83104,30939,"57047",Zip,SD,SD,Monroe,Sioux Falls,Turner County,"","","","","","","","","","","",""
63139,30939,"13472",Zip,NY,NY,Webb,Utica-Rome,Herkimer County,87587.0,88392.0,87764.0,87805.0,87727.0,88320.0,89062.0,89362.0,91630.0,93176.0,94897.0,94497.0
87222,30939,"66541",Zip,KS,KS,Summerfield,"",Marshall County,"","","","","","","","","","","",""
64514,30939,"16244",Zip,PA,PA,Cowanshannock Township,Pittsburgh,Armstrong County,"","","","","","","","","","","",""
67484,30939,"23021",Zip,VA,VA,Susan,Virginia Beach-Norfolk-Newport News,Mathews County,"","","","","","","","","","","",""
85446,30939,"62357",Zip,IL,IL,New Salem,"",Pike County,"","","","","","","","","","","",""
75083,30939,"38946",Zip,MS,MS,Morgan City,Greenwood,Leflore County,"","","","","","","","","","","",""
76006,30981,"41367",Zip,KY,KY,Chavies,"",Perry County,"","","","","","","","","","","",""
59227,30981,"03832",Zip,NH,NH,Eaton,"",Carroll County,"","","","","","","","","","","",""
82998,30981,"56663",Zip,MN,MN,Pennington,Bemidji,Beltrami County,"","","","","","","","","","","",""
80665,30981,"51343",Zip,IA,IA,Greenville,Spencer,Clay County,"","","","","","","","","","","",""
87990,30981,"68419",Zip,NE,NE,Panama,Lincoln,Lancaster County,"","","","","","","","","","","",""
87804,30981,"68014",Zip,NE,NE,Bruno,"",Butler County,"","","","","","","","","","","",""
80563,30981,"50861",Zip,IA,IA,Shannon City,"",Union County,"","","","","","","","","","","",""
99635,30981,"98222",Zip,WA,WA,Olga,"",San Juan County,"","","","","","","","","","","",""
66948,30981,"21650",Zip,MD,MD,Massey,"",Kent County,"","","","","","","","","","","",""
62450,30981,"12176",Zip,NY,NY,Town of Greenville,"",Greene County,"","","","","","","","","","","",""
83907,30981,"59053",Zip,MT,MT,Martinsdale,"",Meagher County,"","","","","","","","","","","",""
67377,30981,"22731",Zip,VA,VA,Aroda,"",Madison County,"","","","","","","","","","","",""
100122,31017,"99149",Zip,WA,WA,Malden,Pullman,Whitman County,"","","","","","","","","","","",""
87308,31017,"66761",Zip,KS,KS,Piqua,"",Woodson County,"","","","","","","","","","","",""
58916,31017,"02815",Zip,RI,RI,Scituate,Providence-Warwick,Providence County,"",158499.0,159458.0,161077.0,162912.0,162438.0,161937.0,162237.0,164939.0,167535.0,168400.0,170319.0
89641,31017,"72572",Zip,AR,AR,Saffell,"",Lawrence County,"","","","","","","","","","","",""
86554,31017,"64686",Zip,MO,MO,Utica,"",Livingston County,"","","","","","","","","","","",""
89148,31017,"71651",Zip,AR,AR,Jersey,"",Bradley County,"","","","","","","","","","","",""
98477,31017,"95923",Zip,CA,CA,Canyon Dam,"",Plumas County,"","","","","","","","","","","",""
86534,31017,"64656",Zip,MO,MO,Ludlow,"",Livingston County,"","","","","","","","","","","",""
66946,31017,"21648",Zip,MD,MD,Madison,Cambridge,Dorchester County,113278.0,113522.0,113386.0,114114.0,114984.0,116139.0,116999.0,117976.0,118757.0,119273.0,119966.0,121165.0
77573,31043,"45310",Zip,OH,OH,Fort Recovery,Celina,Mercer County,"","","","","","","","","","","",""
82979,31043,"56637",Zip,MN,MN,Talmoon,Grand Rapids,Itasca County,"","","","","","","","","","","",""
91540,31043,"76680",Zip,TX,TX,Reagan,Waco,Falls County,"","","","","","","","","","","",""
98631,31043,"96112",Zip,CA,CA,Fort Bidwell,"",Modoc County,"","","","","","","","","","","",""
87690,31043,"67638",Zip,KS,KS,Gaylord,"",Smith County,"","","","","","","","","","","",""
80123,31043,"50066",Zip,IA,IA,Dawson,Des Moines-West Des Moines,Dallas County,"","","","","","","","","","","",""
99444,31043,"97842",Zip,OR,OR,Imnaha,"",Wallowa County,"","","","","","","","","","","",""
84144,31043,"59713",Zip,MT,MT,Avon,"",Powell County,"","","","","","","","","","","",""
80973,31043,"52359",Zip,IA,IA,West Chester,Iowa City,Washington County,"","","","","","","","","","","",""
84097,31043,"59525",Zip,MT,MT,Gildford,"",Hill County,"","","","","","","","","","","",""
76559,31043,"43156",Zip,OH,OH,Ashville,Columbus,Pickaway County,"","","","","","","","","","","",""
80781,31077,"51645",Zip,IA,IA,Imogene,"",Fremont County,"","","","","","","","","","","",""
87961,31077,"68365",Zip,NE,NE,Grafton,"",Fillmore County,"","","","","","","","","","","",""
94548,31077,"84331",Zip,UT,UT,Portage,Ogden-Clearfield,Box Elder County,"","","","","","","","","","","",""
89363,31077,"72085",Zip,AR,AR,Letona,Searcy,White County,"","","","","","","","","","","",""
85315,31077,"62083",Zip,IL,IL,Rosamond,Taylorville,Christian County,"","","","","","","","","","","",""
85050,31077,"61552",Zip,IL,IL,Mossville,Peoria,Peoria County,"","","","","","","","","","","",""
77872,31077,"45866",Zip,OH,OH,Montezuma,Celina,Mercer County,"","","","","","","","","","","",""
83418,31077,"57738",Zip,SD,SD,Fairburn,Rapid City,Custer County,"","","","","","","","","","","",""
86396,31077,"64164",Zip,MO,MO,Kansas City,Kansas City,Jackson County,"","","","","","","","","","","",""
84160,31077,"59731",Zip,MT,MT,Garrison,"",Powell County,"","","","","","","","","","","",""
62877,31077,"12973",Zip,NY,NY,Town Of Piercefield,Ogdensburg-Massena,Saint Lawrence County,"","","","","","","","","","","",""
97494,31077,"93954",Zip,CA,CA,San Lucas,Salinas,Monterey County,"","","","","","","","","","","",""
91958,31114,"77468",Zip,TX,TX,Boling,El Campo,Wharton County,"","","","","","","","","","","",""
78781,31114,"47845",Zip,IN,IN,Coalmont,Terre Haute,Clay County,"","","","","","","","","","","",""
89361,31114,"72083",Zip,AR,AR,Keo,Little Rock-North Little Rock-Conway,Lonoke County,"","","","","","","","","","","",""
80342,31114,"50433",Zip,IA,IA,Dougherty,Mason City,Cerro Gordo County,"","","","","","","","","","","",""
85529,31114,"62514",Zip,IL,IL,Macon,Decatur,Macon County,"","","","","","","","","","","",""
84889,31114,"61313",Zip,IL,IL,Streator,Ottawa-Peru,La Salle County,"","","","","","","","","","","",""
